ISO,Country,Emp,Unemp,BroadLabUnder,EarnQual,LabMarkSec,JobStrain,LowIncome,GenderIneq,EmplGap,YEmp,Yunemp,YBroadLabUnder,YEarnQual,YLabMarkSec,YJobStrain,YLowIncome,YGenderIneq,YEmplGap,evoEmp,evoUnemp,evoBroadLabUnder,evoEarnQual,evoLabMarkSec,evoJobStrain,evoLowIncome,evoGenderIneq,evoEmplGap
AUS,Australia,75.33572,5.880081,28.88956,21.89942,3.775265,25.57078,10.2,41.46549106,21.40549,2016,2016,2015,2015,2016,2015,2015,2015,2016,0.80642,1.028529,1.60395,1.82774,1.039392,-1.69507,-0.5,-5.242148042,-2.86333
AUT,Austria,74.80585,6.11096,25.60587,22.99754,2.612508,28.5212,8.7,47.84539044,21.62084,2016,2016,2015,2015,2016,2015,2015,2015,2016,3.22956,0.816386,-0.97457,2.13189,0.492773,-2.46886,1.6949,-2.44525373,-6.946701
BEL,Belgium,67.65292,7.887971,31.15927,29.2955,2.415776,25.77405,9.5,33.33286047,29.95418,2016,2016,2015,2015,2016,2015,2015,2015,2016,1.17837,-0.408657,-0.79039,1.87531,-0.665511,-4.27009,1.2,-14.58572745,-6.725964
CAN,Canada,75.51517,7.09952,25.95102,19.55844,3.796417,,14.1,38.6,19.27959,2016,2016,2015,2015,2016,2015,2015,2015,2016,-0.23515,0.742317,1.56995,2.70548,0.570576,,1.3,,-1.471989
CHL,Chile,68.74776,6.797222,33.74835,6.45305,7.122413,28.22035,14.2,49.86004233,27.48151,2016,2016,2015,2015,2016,2015,2015,2015,2016,4.78424,-2.427795,,2.3049,-0.933777,,-2.1,,-10.40582
CZE,Czech Republic,76.72879,4.02655,22.48804,9.048636,1.848505,25.37841,5.8,44.27525401,30.34564,2016,2016,2015,2015,2016,2015,2015,2015,2016,5.5709,-3.163705,-2.63545,0.609612,-0.349577,-12.44405,0.8,-2.394929528,-5.516722
DNK,Denmark,77.40043,6.344756,22.69297,29.7666,3.140388,18.19128,7,29.79001701,16.74005,2016,2016,2015,2015,2016,2015,2015,2015,2016,-1.97282,2.392503,2.03571,2.65828,1.340419,-4.96179,1.72,-1.832100749,-4.780155
EST,Estonia,76.51416,6.939463,22.08868,7.522998,5.23538,23.0036,12.9,30.38938046,22.13544,2016,2016,2015,2015,2016,2015,2015,2015,2016,0.90812,0.888615,0.74482,1.774785,1.193451,-7.69633,1.7295,-6.848710775,-0.4320946
FIN,Finland,73.45699,8.946171,26.87416,21.18575,2.045055,16.33813,7.5,21.37713134,18.6397,2016,2016,2015,2015,2016,2015,2015,2015,2016,-0.56939,1.230589,2.6117,1.32101,-0.529577,-3.99762,0.4,-6.148561835,-0.7610407
FRA,France,70.41686,9.841415,32.88021,21.91356,4.376371,25.78997,8.3,34.64718461,27.75386,2016,2016,2015,2015,2016,2015,2015,2015,2016,1.04522,1.36869,2.26285,1.14793,1.26438,-8.33913,0.88015,-4.02123034,-2.915119
DEU,Germany,78.66925,4.196157,21.83908,24.97232,1.890303,28.53309,9.5,42.26805,20.18416,2016,2016,2015,2015,2016,2015,2015,2015,2016,7.54444,-6.221373,-6.26135,2.21033,-1.514594,-16.2867,0.79268,-9.118318275,-8.396658
GRC,Greece,56.19235,23.70415,45.98768,9.966812,22.65925,47.93707,16,49.1340667,38.16234,2016,2016,2015,2015,2016,2015,2015,2015,2016,-9.35943,14.555513,13.41207,-1.399458,15.18628,-1.84709,4.7,,2.927448
HUN,Hungary,71.52532,5.148054,29.63942,7.180495,3.180369,36.41063,10,29.28082943,33.62731,2016,2016,2015,2015,2016,2015,2015,2015,2016,8.87551,-2.388123,-5.5423,0.169861,-0.831881,-13.39361,3.3,-4.193469882,-4.747353
ISL,Iceland,87.49934,3.124158,13.97189,22.6891,2.172912,23.80674,6.5,35.30617952,9.163321,2016,2016,2015,2015,2016,2015,2015,2015,2016,0.45805,0.102831,3.31339,1.48295,1.085445,,1.3,-5.858787894,-1.189688
